"loc_rowid","kepid","tce_plnt_num","tce_period","tce_time0bk","tce_impact","tce_duration","tce_depth","tce_model_snr","av_training_set"
11351,"07522572",1,0.512444,131.693,0.904,1.451,73.91,10.66,"AFP"
11352,"07522572",2,0.512431,131.965,0.8987,1.509,145.3,19.22,"AFP"
11353,"07548259",2,1.21463,131.718,0.6925,2.835,153.1,10.08,"UNK"
11354,"07548259",3,1.92828,131.592,0.1329,2.641,253,10.8,"UNK"
11355,"07548479",1,0.646278,131.583,0.5152,1.39,18.44,15.29,"AFP"
11356,"07548479",2,0.646278,131.913,0.5,1.431,16.8,13.12,"AFP"
11357,"07588436",1,23.3924,139.761,0.09634,2.955,59.97,7.225,"UNK"
11358,"07591772",1,710.277,155.84,0.8687,5.403,173.9,7.185,"NTP"
11359,"07592529",1,75.9071,185.691,0.214,7.835,36.12,6.663,"UNK"
11360,"07620537",1,0.720915,131.839,0.8533,2.716,13.03,10.02,"UNK"
11361,"07620654",1,0.795495,131.586,0.1006,2.498,21.09,5.126,"AFP"
11362,"07620654",2,0.795491,131.986,0.507,2.422,52.1,11.6,"AFP"
11363,"07658578",3,4.52142,133.843,0.7022,3.829,75.13,18.89,"AFP"
11364,"07658578",4,4.52152,132.453,0.5,2.891,72.28,17.37,"AFP"
11365,"07658578",5,4.52136,133.26,0.7004,9.124,117.1,19.69,"AFP"
11366,"07673192",4,8.9212,137.485,0.6792,3.947,111.8,17.74,"PC"
11367,"07673192",5,16.5341,135.404,0.2667,4.161,83.85,9.959,"PC"
11368,"07673841",1,5.34182,136.318,0.1389,3.48,65.13,16.41,"PC"
11369,"07673841",2,10.4232,135.151,0.7767,2.132,75.97,11.05,"PC"
11370,"07699298",1,1.15777,132.458,0.5363,3.201,30.21,15.12,"AFP"
11371,"07699478",1,0.964045,132.054,0.4283,3.678,59.54,10.6,"AFP"
11372,"07699478",2,0.964031,132.41,0.2696,3.388,81.25,13.97,"AFP"
11373,"07700033",1,0.782966,131.859,0.1123,1.449,15.47,11.9,"AFP"
11374,"07733685",3,0.966647,132.327,1,2.303,999.4,17,"UNK"
11375,"07733731",1,4.8581,135.165,0.4854,5.701,74.87,20.7,"PC"
11376,"07738436",1,0.709147,131.685,0.3056,2.466,25.61,11.22,"UNK"
11377,"07764367",1,3.17392,132.838,0.7052,3.474,290,62.47,"PC"
11378,"07765006",1,6.80099,135.633,0.08299,14.66,55.64,9.618,"NTP"
11379,"07765006",2,3.4067,134.411,0.9937,4.686,54.73,8.142,"UNK"
11380,"07765236",1,3.59024,134.965,0.9135,7.549,188,9.232,"UNK"
11381,"07777471",1,0.885106,131.897,0.1511,3.302,86.82,19.72,"AFP"
11382,"07777522",1,0.885097,131.899,0.006775,2.071,133.4,12.85,"AFP"
11383,"07777818",1,5.7817,136.765,0.835,2.275,52.98,11.28,"AFP"
11384,"07778108",1,1.23551,132.269,0.9354,3.118,19.36,3.772,"UNK"
11385,"07335972",2,0.579718,132.093,0.1,1.276,33.95,4.366,"AFP"
11386,"07336640",1,610.393,191.701,0.6734,12.09,205,4.205,"NTP"
11387,"07336754",1,12.1552,133.767,0.8364,6.827,86320,3841,"UNK"
11388,"07336754",2,6.07762,133.864,0.9086,6.729,31670,1696,"UNK"
11389,"07365528",2,0.641446,132.081,0.06317,1.419,86.02,9.319,"AFP"
11390,"07365537",1,0.972002,131.731,0.9,3.368,61.24,13.98,"UNK"
11391,"07365557",1,0.683577,131.74,0.004361,2.783,24.26,7.73,"AFP"
11392,"07365569",1,0.683605,131.751,0.1,2.5,1425,-1,"AFP"
